Time	pHLumen	pHStroma	FractionActiveCytochrome	lumenCharge	stromaCharge	TotalChargeDifference	deltapsi	deltapH	pmf	deltamuCl	deltamuMg	deltamuK	LightIntensity	ATP	ActiveATPs	Antheraxanthin	Fdxox	Fdxr	LumenCl	LumenK	LumenMg	LumenProtons	OSM	P680ex	P680plus	P700ox	P700r	PCr	PQ	PQH2	PSIIChlEx	PheAnion	PsbSQ	QAox	QBneut	QBred1	QBred2	Thrdx	TotalLEF	Volume	Zeaxanthin
0	7.2	7.2	0.97953	0.11	0.11	-7.718e-15	-7.718e-09	-9.9967e-10	-7.7775e-09	7.718e-09	-1.5436e-08	-7.718e-09	0	2	0.05	1e-14	1	1e-14	0.01	0.1	0.01	1e-14	0.12	1e-14	1e-14	1e-14	1	0.2	8.999	0.001	1e-14	1e-14	1e-14	1	1	1e-07	1e-07	1e-14	1e-14	8e-10	1e-14
1e-10	7.2		0.97953	0.11		-7.718e-15	-7.718e-09	-9.9963e-10	-7.7775e-09	7.718e-09	-1.5436e-08	-7.718e-09	0.1	2	0.05	1e-14	1	3.501e-11	0.01	0.1	0.01	1.1009e-14	0.12	0	3.6923e-12	3.501e-11	1	0.2	8.999	0.001	1.7152e-12	2.9535e-12	4.9653e-14	1	1	1e-07	1e-07	1.0003e-14	3.501e-11	8e-10	1e-14
2e-10	7.2		0.97953	0.11		-7.7179e-15	-7.7179e-09	-9.996e-10	-7.7774e-09	7.7179e-09	-1.5436e-08	-7.7179e-09	0.1	2	0.05	1.0001e-14	1	7.001e-11	0.01	0.1	0.01	1.202e-14	0.12	4.609e-15	5.4203e-12	7.001e-11	1	0.2	8.999	0.001	2.7856e-12	3.6546e-12	8.9306e-14	1	1	1e-07	1e-07	1.0009e-14	7.001e-11	8e-10	1e-14
3e-10	7.2		0.97953	0.11		-7.7178e-15	-7.7178e-09	-9.9957e-10	-7.7773e-09	7.7178e-09	-1.5436e-08	-7.7178e-09	0.1	2	0.05	1.0001e-14	1	1.0501e-10	0.01	0.1	0.01	1.3032e-14	0.12	5.7242e-15	7.1212e-12	1.0501e-10	1	0.2	8.999	0.001	3.447e-12	4.1601e-12	1.2896e-13	1	1	1e-07	1e-07	1.0019e-14	1.0501e-10	8e-10	1e-14
1.3e-09	7.2		0.97953	0.11		-7.717e-15	-7.717e-09	-9.9922e-10	-7.7765e-09	7.717e-09	-1.5434e-08	-7.717e-09	0.1	2	0.05	1.0003e-14	1	4.5501e-10	0.01	0.1	0.01	2.3286e-14	0.12	7.4713e-15	2.7983e-11	4.5501e-10	1	0.2	8.999	0.001	4.4979e-12	6.7571e-12	5.2549e-13	1	1	1e-07	1.0001e-07	1.0419e-14	4.5501e-10	8e-10	1e-14
2.3e-09	7.2		0.97953	0.11		-7.7162e-15	-7.7162e-09	-9.9888e-10	-7.7757e-09	7.7162e-09	-1.5432e-08	-7.7162e-09	0.1	2	0.05	1.0006e-14	1	8.0501e-10	0.01	0.1	0.01	3.3694e-14	0.12	7.5246e-15	4.9048e-11	8.0501e-10	1	0.2	8.999	0.001	4.5299e-12	7.4221e-12	9.2202e-13	1	1	1e-07	1.0002e-07	1.116e-14	8.0501e-10	8e-10	1e-14
3.3e-09	7.2		0.97953	0.11		-7.7154e-15	-7.7154e-09	-9.9852e-10	-7.7748e-09	7.7154e-09	-1.5431e-08	-7.7154e-09	0.1	2	0.05	1.0008e-14	1	1.155e-09	0.01	0.1	0.01	4.4253e-14	0.12	7.4875e-15	6.9532e-11	1.155e-09	1	0.2	8.999	0.001	4.5076e-12	7.4983e-12	1.3185e-12	1	1	1e-07	1.0003e-07	1.2251e-14	1.155e-09	8e-10	1e-14
1.33e-08	7.2		0.97953	0.11		-7.7064e-15	-7.7064e-09	-9.9466e-10	-7.7656e-09	7.7064e-09	-1.5413e-08	-7.7064e-09	0.1	2	0.05	1.0034e-14	1	4.655e-09	0.01	0.1	0.01	1.6028e-13	0.12	7.4767e-15	2.3205e-10	4.655e-09	1	0.2	8.999	0.001	4.5011e-12	7.4821e-12	5.2838e-12	1	1	1.0001e-07	1.001e-07	5.3236e-14	4.655e-09	8e-10	1e-14
2.33e-08	7.2		0.97953	0.11		-7.6967e-15	-7.6967e-09	-9.9048e-10	-7.7557e-09	7.6967e-09	-1.5393e-08	-7.6967e-09	0.1	2	0.05	1.0059e-14	1	8.1549e-09	0.01	0.1	0.01	2.8575e-13	0.12	7.4777e-15	3.5648e-10	8.1549e-09	1	0.2	8.999	0.001	4.5017e-12	7.4778e-12	9.2491e-12	1	1	1.0001e-07	1.0018e-07	1.2845e-13	8.155e-09	8e-10	1e-14
3.33e-08	7.2		0.97953	0.11		-7.6865e-15	-7.6865e-09	-9.8605e-10	-7.7452e-09	7.6865e-09	-1.5373e-08	-7.6865e-09	0.1	2	0.05	1.0084e-14	1	1.1655e-08	0.01	0.1	0.01	4.1862e-13	0.12	7.4778e-15	4.5103e-10	1.1655e-08	1	0.2	8.999	0.001	4.5018e-12	7.4777e-12	1.3214e-11	1	1	1.0002e-07	1.0026e-07	2.3855e-13	1.1655e-08	8e-10	1e-14
